Município,Aprovou?,Data aprovação,Atualização,Atualização 2,Atualização 3,População,Projeto?,Aprovado?,Sancionado?
Muniz Ferreira/BA,Não,,,,,7.464,Não,,
Pedrão/BA,Não,,,,,7.438,Não,,
Teodoro Sampaio/BA,Não,,,,,7.296,Não,,
Irajuba/BA,Não,,,,,7.295,Não,,
Apuarema/BA,Não,,,,,7.274,Não,,
Gongogi/BA,Não,,,,,6.852,Não,,
Itagimirim/BA,Não,,,,,6.784,Não,,
Potiraguá/BA,Não,,,,,6.623,Não,,
Nova Ibiá/BA,Não,,,,,6.518,Não,,
Itaju do Colônia/BA,Não,,,,,6.515,Não,,
Itanagra/BA,Não,,,,,6.433,Não,,
Guajeru/BA,Não,,,,,6.371,Não,,
Santa Cruz da Vitória/BA,Não,,,,,6.241,Não,,
Caatiba/BA,Não,,,,,6.232,Não,,
Ichu/BA,Não,,,,,6.232,Não,,
Vereda/BA,Não,,,,,6.105,Não,,
Jussiape/BA,Não,,,,,5.777,Não,,
Jussari/BA,Não,,,,,5.706,Não,,
Feira da Mata/BA,Não,,,,,5.656,Não,,
Firmino Alves/BA,Não,,,,,5.641,Não,,
São José da Vitória/BA,Não,,,,,5.562,Não,,
Barra do Rocha/BA,Não,,,,,5.515,Não,,
Cravolândia/BA,Não,,,,,5.352,Não,,
Barro Preto/BA,Não,,,,,5.312,Não,,
Almadina/BA,Não,,,,,5.273,Não,,
