Município,Aprovou?,Aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Figueira/PR,Não,,,7.625,Não,,
Guaraqueçaba/PR,Não,,,7.554,Não,,
Coronel Domingos Soares/PR,Não,,,7.538,Não,,
Boa Vista da Aparecida/PR,Não,,,7.524,Não,,
Quatiguá/PR,Não,,,7.504,Não,,
Antônio Olinto/PR,Não,,,7.421,Não,,
Paulo Frontin/PR,Não,,,7.418,Não,,
Abatiá/PR,Não,,,7.360,Não,,
Juranda/PR,Não,,,7.244,Não,,
Luiziana/PR,Não,,,7.217,Não,,
Bom Sucesso/PR,Não,,,7.103,Não,,
Verê/PR,Não,,,7.094,Não,,
Marilena/PR,Não,,,7.093,Não,,
Jussara/PR,Não,,,7.069,Não,,
Goioxim/PR,Não,,,6.997,Não,,
São Carlos do Ivaí/PR,Não,,,6.961,Não,,
Sabáudia/PR,Não,,,6.954,Não,,
Floresta/PR,Não,,,6.926,Não,,
Vitorino/PR,Não,,,6.879,Não,,
Renascença/PR,Não,,,6.772,Não,,
Sapopema/PR,Não,,,6.708,Não,,
Mariópolis/PR,Não,,,6.655,Não,,
Guairaçá/PR,Não,,,6.635,Não,,
Itambaracá/PR,Não,,,6.516,Não,,
Amaporã/PR,Não,,,6.405,Não,,
Ibema/PR,Não,,,6.387,Não,,
Formosa do Oeste/PR,Não,,,6.345,Não,,
Boa Ventura de São Roque/PR,Não,,,6.343,Não,,
Pinhalão/PR,Não,,,6.323,Não,,
Borrazópolis/PR,Não,,,6.290,Não,,
Pérola d'Oeste/PR,Não,,,6.232,Não,,
Perobal/PR,Não,,,6.194,Não,,
São José da Boa Vista/PR,Não,,,6.115,Não,,
Itambé/PR,Não,,,6.110,Não,,
Ouro Verde do Oeste/PR,Não,,,6.036,Não,,
Doutor Camargo/PR,Não,,,5.987,Não,,
Francisco Alves/PR,Não,,,5.942,Não,,
Paula Freitas/PR,Não,,,5.942,Não,,
Enéas Marques/PR,Não,,,5.906,Não,,
Nova Olímpia/PR,Não,,,5.846,Não,,
São João do Caiuá/PR,Não,,,5.819,Não,,
Adrianópolis/PR,Não,,,5.797,Não,,
São Tomé/PR,Não,,,5.778,Não,,
Pato Bragado/PR,Não,,,5.755,Não,,
São Pedro do Iguaçu/PR,Não,,,5.745,Não,,
Laranjal/PR,Não,,,5.719,Não,,
Mercedes/PR,Não,,,5.617,Não,,
Maria Helena/PR,Não,,,5.593,Não,,
Xambrê/PR,Não,,,5.584,Não,,
Saudade do Iguaçu/PR,Não,,,5.578,Não,,
Fernandes Pinheiro/PR,Não,,,5.561,Não,,
Guaraci/PR,Não,,,5.557,Não,,
São Jorge do Ivaí/PR,Não,,,5.535,Não,,
São Jorge do Patrocínio/PR,Não,,,5.532,Não,,
Doutor Ulysses/PR,Não,,,5.525,Não,,
Tapira/PR,Não,,,5.452,Não,,
Santo Inácio/PR,Não,,,5.422,Não,,
Presidente Castelo Branco/PR,Não,,,5.395,Não,,
Grandes Rios/PR,Não,,,5.379,Não,,
Braganey/PR,Não,,,5.338,Não,,
Diamante d'Oeste/PR,Não,,,5.279,Não,,
Nova Tebas/PR,Não,,,5.252,Não,,
Tamboara/PR,Não,,,5.196,Não,,
Sertaneja/PR,Não,,,5.149,Não,,
Pranchita/PR,Não,,,5.035,Não,,
Honório Serpa/PR,Não,,,5.030,Não,,
Nova Esperança do Sudoeste/PR,Não,,,5.014,Não,,
